[2026-02-09T23:30:37.095+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:30:37.468+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:32:20.757+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:32:20.993+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:32:21.521+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:32:22.047+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:34:15.195+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:34:15.274+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:34:15.645+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:34:15.857+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:34:51.476+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:34:51.698+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:36:31.710+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:36:31.927+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:36:31.943+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:36:32.650+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:36:46.683+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:36:47.054+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:38:31.051+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:38:31.405+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:38:31.767+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:38:31.775+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:39:11.121+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:39:11.504+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:40:23.134+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:40:23.904+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:40:25.449+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:40:26.024+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:40:40.070+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:40:40.301+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:42:03.567+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
